,Made Donation in March 2007
659,0.773730842
276,0.39057812
263,0.527489323
303,0.679990971
83,0.406868772
500,0.602662593
530,0.660767349
244,0.465483497
249,0.435940945
728,0.688012969
129,0.465483497
534,0.372342108
317,0.372342108
401,0.621017939
696,0.459070896
192,0.459070896
176,0.700980171
571,0.435917976
139,0.501696104
423,0.646913289
563,0.567415574
56,0.567415574
528,0.492865086
101,0.591828726
467,0.423275653
382,0.439899534
466,0.608092554
294,0.404526364
512,0.404526364
659,0.404526364
389,0.512187042
487,0.496908585
701,0.333334128
419,0.333334128
536,0.333334128
240,0.543581966
508,0.543581966
515,0.420951353
283,0.382180765
650,0.469487064
65,0.437553206
228,0.409580407
741,0.447908494
297,0.370074452
464,0.364102578
63,0.354462305
231,0.420928585
28,0.419043457
248,0.352242431
357,0.352242431
300,0.321968765
726,0.321968765
680,0.321968765
520,0.352242431
254,0.321968765
582,0.321968765
143,0.352242431
98,0.352242431
1,0.352242431
221,0.383751552
352,0.383751552
64,0.291110644
138,0.291110644
745,0.39372488
64,0.291110644
688,0.291110644
623,0.291110644
289,0.510456038
174,0.447885395
690,0.418585086
105,0.435163749
427,0.344203769
48,0.335589785
14,0.314285778
657,0.374691477
301,0.39757032
455,0.329050932
579,0.38145664
722,0.370193713
98,0.328394569
491,0.411576997
303,0.283614959
466,0.337031811
65,0.303274434
300,0.312195831
9,0.308098564
622,0.304661058
323,0.295842899
289,0.299223725
568,0.345663552
290,0.334088473
156,0.289148229
464,0.301225544
426,0.289148229
306,0.287260166
4,0.287174562
12,0.283251468
187,0.274395759
406,0.283874727
96,0.270384055
509,0.273485329
733,0.273485329
548,0.265225337
478,0.255275175
501,0.283874727
127,0.283874727
199,0.283874727
299,0.264049463
162,0.285834809
235,0.285834809
23,0.285834809
473,0.285834809
487,0.285834809
683,0.285834809
303,0.285834809
309,0.285834809
569,0.285834809
34,0.285834809
686,0.285834809
84,0.285834809
733,0.285834809
537,0.285834809
181,0.285834809
453,0.285834809
67,0.285834809
161,0.285834809
307,0.285834809
703,0.397074656
181,0.220482925
246,0.278024696
316,0.271596207
278,0.266504537
346,0.233218567
545,0.249861444
419,0.303343055
694,0.3152126
622,0.269678494
663,0.264627893
262,0.265905255
461,0.265905255
373,0.268407975
233,0.233909494
466,0.311113668
207,0.248044937
263,0.320180034
16,0.224774779
513,0.23680371
449,0.228669976
429,0.327917614
701,0.2583983
632,0.184014293
529,0.249456183
245,0.192504841
344,0.247395297
353,0.247395297
241,0.247395297
633,0.247395297
624,0.247395297
726,0.247395297
189,0.247395297
138,0.247395297
402,0.247395297
511,0.247395297
590,0.234442932
334,0.247395297
447,0.247395297
119,0.247395297
389,0.290420192
644,0.25520415
423,0.284526888
131,0.240859678
405,0.213201868
82,0.26586879
643,0.252852587
156,0.229844549
617,0.192519362
574,0.2131862
272,0.269390059
613,0.170940048
545,0.170940048
685,0.156283821
570,0.265501397
537,0.184611515
691,0.391319209
85,0.210501022
483,0.260120541
455,0.242883691
93,0.216431906
744,0.345579049
33,0.197912251
321,0.375720745
523,0.165840664
426,0.189849331
196,0.212901802
301,0.241118701
103,0.143143078
224,0.176957304
454,0.219617159
585,0.195061157
154,0.165840664
